English,Nagamese
"The Indian independence movement was a significant period in Indian history, marked by a fervent desire for freedom from British rule.","India ke freedom movement toh India history te ek important time ase, juntu British raj hatai dibole freedom nimite ek dum mon thaka time."
"Mahatma Gandhi emerged as the leader of the Indian independence movement, advocating for nonviolent resistance against British colonial rule.","Mahatma Gandhi India ke freedom movement ke leader hoi ke aahis, aur British hukumat ke against shanti se ladai karne keliye bolis."
"The Salt March of 1930, led by Mahatma Gandhi, was a pivotal event in the Indian independence movement, protesting the salt tax imposed by the British.","1930 te, Mahatma Gandhi nimbi Salt March kori, British manu khan India te salt tax lagaise taikhan proti protest kurise. India ke ajadi dibole etu ekta muhim thakise."
"The Quit India Movement, launched in 1942, was a major civil disobedience movement aimed at demanding an end to British rule in India.","Quit India Movement,"" 1942 te start hoise, etu ekta b ডাঙৰ civil disobedience movement thakise, India te British hukum sesh koribo nimite."
"Jawaharlal Nehru, the first Prime Minister of independent India, played a crucial role in the Indian independence movement and the nation's subsequent development.","Jawaharlal Nehru, India poraadhin thaki mukti huaa paila Prime Minister, India ke azaad koriboley aru desh banaaney tey dhyaan di thakise."
"The Partition of India in 1947 led to the creation of two separate nations, India and Pakistan, resulting in one of the largest mass migrations in human history.","1947 te India ko bhag kora পিছত, India aru Pakistan naam duita alag desh bonise, aru etu manu sob dangor pora ek jagah pra aru ek jagah te juwa bhitor te ekta thakise."
"The Indian National Congress, founded in 1885, played a central role in the Indian independence movement, advocating for self-rule and independence from British colonialism.","Indian National Congress, 1885 te shuru hoise, India ke British raj se azad koribole nimete ekta important role play korise, aru nijor rule aru independence mangise."
"Bhagat Singh, a revolutionary freedom fighter, became an iconic figure in the Indian independence movement through his acts of protest against British rule.","Bhagat Singh, ekjon krantikari freedom fighter, British rajor birudhe protest kori India ke azad koribo nimete ekta naamitha manu ase."
"The Jallianwala Bagh massacre of 1919 was a tragic event during the Indian independence movement, where British troops indiscriminately killed hundreds of unarmed civilians in Amritsar.",Jallianwala Bagh te 1919 pora etu ekta bohot dukh dikhane wala ghatona asile Indian independence movement time-te. British sipoya khan kunu vichar nakori hundreds manu ke direct guli marikena Amritsar te khotom kori dise.
"The Indian National Army (INA), led by Subhas Chandra Bose, fought alongside the Japanese during World War II, seeking to liberate India from British rule.",Subhas Chandra Bose itu Indian National Army (INA) nem thaki World War II time tey Japan logot mili British hukumot pora India ke azad koribo nimete ldishey.
"The Round Table Conferences held in 1930, 1931, and 1932 aimed at discussing constitutional reforms in India, but they failed to achieve any significant breakthrough.","Jotai 1930, 1931 aru 1932 te India nimite Round Table Conference patise, kintu constitution toh thik koribo para nai."
"The Rowlatt Act of 1919 was a repressive law passed by the British colonial government, leading to widespread protests and the Jallianwala Bagh massacre.","Rowlatt Act 1919 toh British government bonaishe, ekdom kharap law thakise, etu karone sob manu protest kurishe aaru Jallianwala Bagh te bohot manu marise."
"The Simon Commission, appointed by the British government in 1927, was met with widespread protests in India as it had no Indian members and was seen as an attempt to prolong British rule.","Simon Commission, British government 1927 te appoint korise, India te bishi protest hoise kelemane etu commission te Indian member ekjon bhi nai thakise aro etu British hukum choloai thakibo nimite plan hisab te dikhise."
"The Indian Councils Act of 1909, also known as the Morley-Minto Reforms, introduced a limited form of representative government in India.","Indian Councils Act 1909, ke Morley-Minto Reforms bhi bole, India te thoda represent wala sarkar shuru korise."
"The Government of India Act of 1919, also known as the Montagu-Chelmsford Reforms, introduced the principle of dyarchy in the provinces.","Government of India Act 1919, ke Montagu-Chelmsford Reforms bhi bole, etu province khan te dyarchy shuru hoise."
"The Civil Disobedience Movement, launched by Mahatma Gandhi in 1930, aimed to challenge British authority by refusing to obey certain laws.","Mahatma Gandhi 1930 te Civil Disobedience Movement shuru kurishey, etu British hukum ke challenge kori kene law nemana thakibo nimete ase."
"The Khilafat Movement, launched in 1919 by Indian Muslims, aimed to support the Ottoman Empire and protect the interests of Muslims worldwide.","Khilafat Movement, jun 1919 te Indian Muslim khan thakise, etu Ottoman Empire ke support kori bole nimete ase aro dunia bhorot thaka Muslim khan ke bhi sob dhyan dibole ase."
"The Non-Cooperation Movement, launched by Mahatma Gandhi in 1920, aimed at boycotting British goods and institutions, marking a significant escalation in the Indian independence movement.","Non-Cooperation Movement"", etu toh Mahatma Gandhi para 1920 te shuru kora thakise. British manu khan laga jinish aur school college khan boycott koriboley koi thakise, India ke azad koriboley etu ekta dangor step thakise."
"The Chauri Chaura incident of 1922 led Mahatma Gandhi to call off the Non-Cooperation Movement, as it turned violent, contradicting the principle of nonviolence.","Chauri Chaura te 1922 manu hoisebi, Mahatma Gandhi Non-Cooperation Movement to bandh koridiya, kelemane etu khun-kh kharap hoigala, aru shanti usulte ulta hoi thakise."
"The Poona Pact of 1932 was an agreement between Dr. B.R. Ambedkar and Mahatma Gandhi, ensuring reserved political representation for the Dalit community in India.","Poona Pact, 1932 te Dr. B.R. Ambedkar aro Mahatma Gandhi majot etu agreement hoise, Dalit khan nimite India te seat reserve rakhiboley."
"The Swadeshi Movement urged Indians to boycott British goods and promote Indian-made products, fostering a sense of nationalism and self-reliance.","Swadeshi Movement etu India manu khan ke British maal kinibo naphiboley koi ase aur nijor India te bana maal khan use koribo ke koi ase, etu pora desh bhal pa feelings aur nijor upor te bishwas to dibo."
"The Indian independence movement witnessed the rise of various women leaders, including Sarojini Naidu, Annie Besant, and Kamala Nehru, who played crucial roles in the struggle for freedom.","India ke freedom fight te Sarojini Naidu, Annie Besant, aru Kamala Nehru nisina bohut saari juwani manu aagewala thakise, aru freedom paane nimite etu fight te muhim hissa loishe."
"The Champaran Satyagraha of 1917 marked the beginning of Mahatma Gandhi's nonviolent resistance in India, aimed at addressing the grievances of indigo farmers in Bihar.","1917 te, Champaran Satyagraha pora Mahatma Gandhi India te shanti thaka protest shuru korise, Bihar te indigo kheti kora manu khan dukh dur koriboley."
"The Dandi March, also known as the Salt Satyagraha, was a 24-day march to the Arabian Sea undertaken by Mahatma Gandhi in 1930, protesting the salt tax imposed by the British.","Dandi March, ekta Salt Satyagraha bhi koi, etu Mahatma Gandhi nimete 1930 te 24 din laga ekta march thakise. British khan laga salt tax laga birudh te Arabian Sea tak cholise."
"The Indian Independence Act of 1947 was passed by the British Parliament, leading to the partition of British India into the independent nations of India and Pakistan.","British Parliament 1947 te Indian Independence Act pass korise, etu nimite British India khan India aro Pakistan naam laga alag desh hoise."
"The Lahore Resolution of 1940, also known as the Pakistan Resolution, demanded the creation of separate Muslim states in British India.","Lahore Resolution 1940, juntu Pakistan Resolution bhi koi, etu British India te alada Muslim desh bonabo lageh koi thakise."
"The Minto-Morley Reforms of 1909 introduced separate electorates based on religion in India, further deepening the communal divide.","Minto-Morley Reforms, 1909 te India-te alag alag dharam hisaab-se vote system shuru korise, etu pora dharam dharam bhag aru dangor hoise."
"The Cripps Mission of 1942, led by Sir Stafford Cripps, aimed to secure Indian cooperation for the British war effort in exchange for self-government after the war, but it failed to gain Indian support.","Cripps Mission 1942, Sir Stafford Cripps nim leadership te thakise, etu toh India manu khan ke British government ke help koribo dibi dusra world war te, war finish hua pichede India ke nijor government chala bole dibi. Kintu India manu khan raji na huwa."
The Rani of Jhansi Regiment was an all-female regiment formed by the Indian National Army (INA) during World War II under the leadership of Subhas Chandra Bose.,"Rani of Jhansi Regiment toh ekta pura meena manu khanar regiment thakise, etu Indian National Army (INA) bonaisile World War II time-te, Subhas Chandra Bose nimite."
"The Indian independence movement saw the emergence of prominent leaders like Sardar Vallabhbhai Patel, Maulana Abul Kalam Azad, and Bal Gangadhar Tilak, among others.","India ke azaadi movement time te Sardar Vallabhbhai Patel, Maulana Abul Kalam Azad, aur Bal Gangadhar Tilak jese barra neta khan dikhise."
"The Indian Home Rule Movement, led by Bal Gangadhar Tilak and Annie Besant, advocated for self-governance for India within the British Empire.","Indian Home Rule Movement, Bal Gangadhar Tilak aru Annie Besant nimiti korikena, India laga nimite British Empire bhitor te nijor hukum chala bole mangi thakise."
"The Quit India Resolution, passed by the All India Congress Committee in 1942, demanded complete independence from British rule, leading to the launch of the Quit India Movement.","Quit India Resolution"", etu All India Congress Committee 1942 te pass korise, British hukumot pura hatibolage bolise, aru etu nimite ""Quit India Movement"" shuru hoise."
"The Indian independence movement was not limited to the Indian subcontinent; it also had significant support from Indians living abroad, particularly in countries like South Africa, the United Kingdom, and the United States.","India ke independence movement sirf India te nai, bahar country te thaka India log bhi support kurishe, jiman South Africa, UK, aro United States."
"The Bardoli Satyagraha of 1928, led by Sardar Vallabhbhai Patel, was a successful revolt against the increased land revenue imposed by the British in Bardoli, Gujarat.","Bardoli Satyagraha, 1928 te Sardar Vallabhbhai Patel nimitey, British khan Bardoli, Gujarat te land revenue bohaidiya toh ulaai kene ekta jiki thaka bidroh asile."
"The Indian independence movement inspired similar movements in other British colonies, such as the Gold Coast (Ghana), Nigeria, and Kenya, among others.","India pora mukti huijawa dekhikena, etu Gold Coast (Ghana), Nigeria, aru Kenya nisina dusra British jaga te bhi mukti nimite chesta korise."
"The Indian independence movement saw the emergence of various ideologies, including socialism, communism, and secularism, shaping the future political landscape of the country.","India ke azaadi movement time-te dher iixaab ideologies, jene socialism, communism aru secularism ulai ahise, etu desh ke future political dik kom paare."
"The All India Muslim League, founded in 1906, played a significant role in the demand for a separate Muslim nation, eventually leading to the creation of Pakistan.","All India Muslim League, ta 1906 te shuru hoise, ekta alag Muslim desh nimete dabi te bisi dangor kaam kurishe, last te Pakistan bonai dise."
"The Indian independence movement had a profound impact on British politics, contributing to the decline of the British Empire and the eventual dismantling of colonial rule worldwide.","India ke azaadi movement toh British rajniti pora dangor asor porise, etu British Empire komjur kori bole madad korise aur dhire dhire dunia bhor te colonial niyam shesh hoise."
"The role of the Indian press, including newspapers like ""The Hindustan Times,"" ""Amrita Bazar Patrika,"" and ""Young India,"" was crucial in spreading awareness and mobilizing support during the independence movement.","The Hindustan Times,"" ""Amrita Bazar Patrika,"" aru ""Young India"" nisina India media khan, sob milikena independence movement time-te janta ke bujhabo lage aru support dibo nimite bisi important kaam kurishe."
"The Indian independence movement witnessed the sacrifices of countless freedom fighters, who endured imprisonment, torture, and even death in the pursuit of a free and independent India.","India ke azaadi movement toh bahut freedom fighter khan kurbani dikhise, jail gese, torture hoise, aru bahut toh morise ekta azaad India nimite."
"The All India Depressed Classes League, founded by Dr. B.R. Ambedkar in 1935, aimed to address the social and political rights of the Dalit community in India.","All India Depressed Classes League, ke Dr. B.R. Ambedkar 1935 te banaishe, etu India te Dalit jatir nimite social aru political rights dibole lakshya loishe."
"The Indian independence movement saw the emergence of various cultural and literary figures, such as Rabindranath Tagore, Bankim Chandra Chattopadhyay, and Subramania Bharati, who used their art to inspire nationalist sentiments.","India ke freedom fight toh, Rabindranath Tagore, Bankim Chandra Chattopadhyay, aru Subramania Bharati nisina bohut artist aru likhoki ulaise. Etu khan manu khan nijor art ke nationalist feeling dangor koriboley use korise."
"The British landed in India in Surat on August 24, 1608.","British manu khan India te Surat potta August 24, 1608 te ahise."
The British rule did not begin until 1858.,British manu toh 1858 tak shuru hoi nai thakise.
British rule in India fostered economic exploitation and inequality.,"India te British manu khan raj chalaise koile arthik sob manu ke nichuk kori dise, aru sob manu ek hisab te nuhua dise."
Indian independence movements gained momentum against British colonization.,"British toh India ke upar raj koriboley thakile, India manu khan olai ahiboley start kori dise, joldi joldi azadi paiboley."
The British implemented divisive policies to control the Indian population.,"British manu khan Indian manu khan ke divide kori bole nimete policy banaishe, taake manu khan control koribo pare."
Exploitative land revenue systems burdened Indian farmers under British rule.,British raj te India kheti kora manu khan upor te land laga tax system bishi bojh dishe.
British imperialism imposed cultural suppression and erasure in India.,British raj pora India te culture khan ke dabaidise aro metaidise.
The British Raj perpetuated social hierarchies and caste discrimination.,"British Raj toh society laga level aru caste biak alag kori dikhai thishey, aru discrimination toh chalu kori di thakise."
Indian nationalist leaders emerged to challenge British colonial dominance.,India laga nationalist neta khan ulai ahise British raj ke challenge koriboley.
British colonialism led to famines and economic devastation in India.,British raj khanar nimitey India te bhukmari aru paisa nosto hoi jaise.
The British exploited Indian resources for their own gain.,British manu khan India laga maal khan nijor faida nimete use kurisey.
India's struggle for independence culminated in the 1947 partition.,India ke ajaadi nimitey koshish 1947 te desh bhag hua time pura hoise.
