English,Kokborok
"These are the names of the sons of Israel who came to Egypt with Jacob, each with his household:",Omorokno Jakobni bwsarok; bórokno bo bai baksa ha Ijibo thángnai núkhungrok;
"Reuben, Simeon, Levi, and Judah,","Ruben, Simion, Lebi tei Juda,"
"Issachar, Zebulun, and Benjamin,","Isakar, Jebulun tei Benjamin,"
"Dan and Naphtali, Gad and Asher.","Dan, Naptali, Gad tei Aser."
All the offspring of Jacob were seventy persons; Joseph was already in Egypt.,Jakobni bwsarok bebagwi khoroksnichi ká-o. Bwsla Josep swkang’-no Ijibo sógwijak.
"Then Joseph died, and all his brothers, and all that generation.",Hakhe Josep tei bini bebak takhukrokbo thwi bai kha tei bosongrokbo thwi bai kha.
But the descendants of Israel were fruitful and increased greatly; they multiplied and grew exceedingly strong; so that the land was filled with them.,Israilni bosongrok doui er lai kha tei phan gwnang wngwi hamchaui ragwi bacha kha; hakhe a ha-o bórok máng kupulung wng kha.
"Now there arose a new king over Egypt, who did not know Joseph.",Tabuk Josepno sini ya borok khoroksa ha Ijipni bugra chá kha.
"And he said to his people, “Behold, the people of Israel are too many and too mighty for us.","Tei bini bororokno hai hwnwi sa kha, “Nai di, Israilsarok chini slái belaino kwbáng, nang lai khe chini kebengnai arirok bai kwtha laiwi chwng bai choba khlainai tei chini hani yógwi thángnai."
"Come, let us deal shrewdly with them, lest they multiply, and, if war befall us, they join our enemies and fight against us and escape from the land.”","Chwng bórokno siyan khe ma tẃi lainai, bórokno er ya khlai tonna nangnai, erwi teibo báng khe chobarok nang lai khe chini arirok bai kwtha laiwi chwng bai choba khlainai tei chini hani yógwi thángnai.”"
"Therefore they set taskmasters over them to afflict them with heavy burdens; and they built for Pharaoh store-cities, Pithom and Ra-amses.",Abo bai’-no samung tang rwnairok bórokno samung kwrak kwrak khlai rwui sátok kha tei bórokni yak tẃi khe Pharaoni bagwi manwi rúngjaknai kamiyung kainwi Pithon bai Ramaseno tisa kha.
"But the more they were oppressed, the more they multiplied and the more they spread abroad. And the Egyptians were in dread of the people of Israel.","Tamo khe bórok, bórokno sukhrup rw rwk wng kha, yang khe bórok teibo se er rw rwgo tei yang yang pírjak rw rwgo."
"So they made the people of Israel serve with rigor,",Ijipni bororok bórokno kirijak lai kha. Hakhe bórok teibo khairok yaui Israilsarokno samung tang rw kha.
"and made their lives bitter with hard service, in mortar and brick, and in all kinds of work in the field; in all their work they made them serve with rigor.","Samung kwrak kwrak tang rwui bórokno tong kesebo khe ton kha, holong, ha kwrak bokhok rw kha bórokni haba-o mula tang rw kha. Bebak samungo’-no kisabo khairok yaui tang rw kha."
"Then the king of Egypt said to the Hebrew midwives, one of whom was named Shiphrah and the other Puah,","Ijipni habugra Hibru lomojwk-kumajwk khoroknwi Sipra tei Puano hai hwnwi sa kha,"
"“When you serve as midwife to the Hebrew women, and see them upon the birthstool, if it is a son, you shall kill him; but if it is a daughter, she shall live.”",“Norok Hibru bwrwirokno bá rw khe nai di tei abo bwsa chwla hwn khe achai kheno báma nogo’-no butharwi pái di tei bwrwi achai khe le narwk di.”
"But the midwives feared God, and did not do as the king of Egypt commanded them, but let the male children live.","Tamo khe lomojwk-kumajwkrok Kaitorno kirijagwi Ijipni habugra dagima hai khlai li ya, chwla bwsarokno kwthang narwk kha."
"So the king of Egypt called the midwives, and said to them, “Why have you done this, and let the male children live?”","Hakhe Ijipni habugra a lomojwk-kumajwkrokno ringwi hai hwnwi sa kha, “Tamo norok omo hai ma khlai lang tamo chwla bwsarokno kwthang narwk lai lang?”"
"The midwives said to Pharaoh, “Because the Hebrew women are not like the Egyptian women; for they are vigorous and are delivered before the midwife comes to them.”","A lomojwk-kumajwkrok Pharaono hai hwnwi sa kha, “Hibru bwrwirok Ijipni bwrwirok hai ya bórok kwrak gwja, lomojwk-kumajwkrok sógwi ya sini’-no bórok báui pái-o.”"
So God dealt well with the midwives; and the people multiplied and grew very strong.,Kaitor a lomojwk-kumajwkrokni saka yak tonjak. Hakhe bororok er kha tei teibo kwrak khe bacha kha.
And because the midwives feared God he gave them families.,A lomojwk-kumajwkrok Kaitorno kirimani bai Kaitor bórokno sakni núkhung rw kha.
"Then Pharaoh commanded all his people, “Every son that is born to the Hebrews you shall cast into the Nile, but you shall let every daughter live.”","Hakhe Pharao bini bebak bororokno hai hwnwi dagi kha, “Hibrurokni núkhung mathenino chwla bwsa achai kheno norok Nil twima-o khiklaiwi rw di, tamo khe bwrwi bwsa achai khe le kwthang narwgwi ton di.”"
Now a man from the house of Levi went and took to wife a daughter of Levi.,"Levi bosongni chwla khoroksa, Lebi bosongni’-no bwrwi khoroksano káijak kha."
"The woman conceived and bore a son; and when she saw that he was a goodly child, she hid him three months.",A bwrwi sakderiya wngwi chwla bwsa khoroksa bá kha; tei bwrwima a chwraino naithok nukma bai taltham huiwi ton kha.
"And when she could hide him no longer she took for him a basket made of bulrushes, and daubed it with bitumen and pitch; and she put the child in it and placed it among the reeds at the river's brink.",A chwraino tei huiwi tonwi man li ya wngwi bo papirani japa kaisa naui Nil tei alkatra phul kha hakhe a chwraino aro daui Nil twimani twi rukungo tonma papira bwlwngo khe tonwi rwi kha.
"And his sister stood at a distance, to know what would be done to him.",Hakhe bibijwk hakchalo bachaui tongwi a chwraino tamo khlai abono naichomwi tong kha.
"Now the daughter of Pharaoh came down to bathe at the river, and her maidens walked beside the river; she saw the basket among the reeds and sent her maid to fetch it.",Aphuru Pharaoni bwsajwk twima-o tukuna bagwi phai kha tei bini selengjwk a twi rukung tẃi himwi tháng khe bo a japano papira bwlwngo nuk kheno bini selengjwkno a japano khochaui tubu di hwnwi dagi kha.
"When she opened it she saw the child; and lo, the babe was crying. She took pity on him and said, “This is one of the Hebrews' children.”","Bo a japano phiyok khe aro chwrai bwsa chwla nuk kha: A chwrai kabwi tongo. Bo bono khairokjagwi hai hwnwi sa kha, “Omo khoroksa swk Hibruni bwsano wngnai.”"
"Then his sister said to Pharaoh's daughter, “Shall I go and call you a nurse from the Hebrew women to nurse the child for you?”","Hakhe bini bukhuk Pharaoni bwsajwkno hai hwnwi sẃng kha, “Ang chwraino chá rwna khan rwna bagwi Hibru bwrwima khoroksa swkno nini thani ringwi rw phaina da?”"
"And Pharaoh's daughter said to her, “Go.” So the girl went and called the child's mother.","Pharaoni bwsajwk bono hai hwnwi sa kha, “Tháng di.” Hakhe a bwrwi thángwi a chwraini bumano ringwi tubu-ui phai kha."
"And Pharaoh's daughter said to her, “Take this child away, and nurse him for me, and I will give you your wages.” So the woman took the child and nursed him.","Tei Pharaoni bwsajwk bono hai hwnwi sa kha, “Nwng thángwi o chwraino chá rwui di, khan rwui di, ang aboni bagwi nono rang rw anw.” Hakhe a bwrwima a chwraino tlangwi thángwi chá rwui kha, khan rwui kha."
"And the child grew, and she brought him to Pharaoh's daughter, and he became her son; and she named him Moses, for she said, “Because I drew him out of the water.”","Hakhe a chwrai tor rwk lok rwk wng kha, hakhe bo ulo Pharaoni bwsajwkni thani tubu-ui phai kha, hakhe bini sajla snam kha, bo a chwraino “Ang twini se tisaui tubu-o tei bono Musi hwnwi mung phar kha.”"
"One day, when Moses had grown up, he went out to his people and looked on their burdens; and he saw an Egyptian beating a Hebrew, one of his people.",Musi torwi salsa bini bororokno thángwi naiwi bórok bwswk khe samung kwrak kwrak tang rwjagwi tong abono nuk kha tei khoroksa Ijipsa bini Hibru khoroksano bumani nuk kha.
"He looked this way and that, and seeing no one he killed the Egyptian and hid him in the sand.",Bo abono nuk kheno aro borok khoroksa phano kwrwi nugwi a Ijipsano butharwi hasingkhongo phobwi rw kha.
"When he went out the next day, behold, two Hebrews were struggling together; and he said to the man that did the wrong, “Why do you strike your fellow?”","Teini salo bo tháng phi kha, hakhe Hibrusa khoroknwiokno bú laiwi tong laimani nuk kha; hakhe bo cha ya khlainaino hwnwi sa kha “Tamni nwng sakni boroknoba ma bu?”"
"He answered, “Who made you a prince and a judge over us? Do you mean to kill me as you killed the Egyptian?” Then Moses was afraid, and thought, “Surely the thing is known.”","Bo uphilwi Musino hai hwnwi sa kha, “Sabo nono chini bagwi bugra tei nokphang buj thumnai snam kha ba? Nwng ba tamo a Ijipsano butharma hai da ano bo butharna nai?” Hakhe Musi kirijak kha tei uansuk kha, “Sói omo saui man bai khna’-no,” hwnwi chong kha."
"When Pharaoh heard of it, he sought to kill Moses.
But Moses fled from Pharaoh, and stayed in the land of Midian; and he sat down by a well.","Pharao a kókno khna kheno, bo Musino butharna chong kha.
Tamo khe Musi Pharaoni nokni khár kha tei Midian ha-o tongwi kha. Twikhor samo khe thángwi achugwi kha."
"Now the priest of Midian had seven daughters; and they came and drew water, and filled the troughs to water their father's flock.",Midianni ochaini bwsajwksong khoroksni tongo. Bórok phaiwi twi khók phai kha tei buphani merarokno twi khan phai kha.
"The shepherds came and drove them away; but Moses stood up and helped them, and watered their flock.",Mera mwrwknairok phaiwi a bwrwirokno riphrigwi rohor kha.
"When they came to their father Reuel, he said, “How is it that you have come so soon today?”","Bórok bupha Reulni thani phai khe bo hai hwnwi sa kha, “Norok bahai aswk dakti phai laiwi man kha?”"
"They said, “An Egyptian delivered us out of the hand of the shepherds, and even drew water for us and watered the flock.”","Bórok hai hwnwi sa kha, “Ijipsa khoroksa chwngno mera mwrwknairokni yakni phiyók kha, bo chini bagwi twi khógwi merarokno twi khansru kha.”"
"He said to his daughters, “And where is he? Why have you left the man? Call him, that he may eat bread.”","Bo bwsajwksongno hai hwnwi sẃng kha, “Buko a borok buro? Bono ringhor di, bo oro mai chá phai thung.”"
"And Moses was content to dwell with the man, and he gave Moses his daugher Zipporah.","Musi a borok bai tongnani lon kha, hakhe bo Musino bwsajwk Jipora bai káiwi rw kha."
"She bore a son, and he called his name Gershom; for he said, “I have been a sojourner in a foreign land.”","A bwrwi bwsa chwla khoroksa bá kha tei Musi bono Gersom hwnwi mung phar kha, tamni hwn khe buini ha-o haino buini borok wngwi tongmani se."
"In the course of those many days the king of Egypt died. And the people of Israel groaned under their bondage, and cried out for help, and their cry under bondage came up to God.",Sal kwbángma lái thángma ulo khe Ijipni habugra thwi kha. Tei Israilni bororok bórokni yago klaiwi kengai lai kha tei chubachuni bagwi kap lai kha tei seleng wngwi kap laimano Kaitor khna kha.
"And God heard their groaning, and God remembered his covenant with Abraham, with Isaac, and with Jacob.","Kaitor bórokni kengaimano khna kha tei bo Abraham, Isak tei Jakob bai swmai tangmano muitu wng kha."
"And God saw the people of Israel, and God knew their condition.",Kaitor Israilni bororokno nuk kha tei bórok bahai wngwi tong lai kha abono Kaitor nuk kha.
"Now Moses was keeping the flock of his father-in-law, Jethro, the priest of Midian; and he led his flock to the west side of the wilderness, and came to Horeb, the mountain of God.","Musi, bwkra Jethroni merarokno mwrwgwi tongo. Jethro wng kha Midian hani ochai. Bo merarokno salsibaini haphar bukcha tẃi khe tubu-ui Horebo sók phai kha, abo Kaitorni hathái."
"And the angel of the Lord appeared to him in a flame of fire out of the midst of a bush; and he looked, and lo, the bush was burning, yet it was not consumed.","Subraiyungni suari hórni bising tẃi khe satasuta-o bo bai nukjak kha, bo a satasuta-o hórjlai le nugo phiya abo kha se kham ya."
"And Moses said, “I will turn aside and see this great sight, why the bush is not burnt.”","Hakhe Musi hai hwnwi sa kha, “Ang samo thángwi kwmamsingchano nai anw tamo a satasutarok kham ya wng.”"
"When the Lord saw that he turned aside to see, God called to him out of the bush, “Moses, Moses!” And he said, “Here am I.”","Subraiyung Musino nainani bagwi samo sederwi phainani nai tongmano nuk kheno Kaitor a satasuta-o tongwi “Musi, Musi!” hwnwi ring kha.
Hakhe Musi, “Tamo, ang oro se,” hwnwi sa kha."
"Then he said, “Do not come near; put off your shoes from your feet, for the place on which you are standing is holy ground.”","Hakhe Kaitor hai hwnwi sa kha “Samo ta phai di; nini yakungni yaklap sokok di, nwng bachaui tongma a ha wng kha kwthar.”"
