English,Nyishi
weather beaten,og layil tixum tiqhiqnam 
weather man,doonyi poolam betambo nyi 
weather vane,dooi yinam mam kaan nan 
well done,alwb nyipa 
well groomed,dvrwq dvb vj koonam 
well behaved,aldvb nyinam 
well behaved,koojub-hingjub 
well being,albo gab 
well being,jamp gab 
well informed,vcjaqb cengnam 
well known,yuunam 
well known,cimpwnam 
well meaning,niqtuq lengnam 
well off,nyetnam 
well read,aljaqb poorynam 
well rounded,kaby jaqdvb nyinam 
well spoken,tvlwq dvb agam goonam 
well to do,nyet tvpurnam 
west ward,dou-haagab wnam 
wet land,suyu bo nyook 
whatever,hognvkv jaqkam 
whatsoever,hognvkv jaqkam 
wheel chair,pwrnbo dootam 
where abouts,hogloq ho 
whereas,hvbsujaqkam 
whereby,hoq hvbkalam 
wherein,hoggub nyitadvn 
where upon,hoq niqtuqkv hoggv 
wherever,hoglo jaqkam 
whichever,akwn akwn jaqkam 
whimper,kiir noonam 
whimsical,luusaqnam 
whimsical,mwwsam 
whimsy,yuma maanam hvb nyinam 
whirl wind,cwkeq lvmeq dooi 
whirl pool,iss pwrnam 
whisk,xipwqnam 
whisker,coqyum 
whiskey,opo pootwq 
whisper,jesnam 
whistle,piipa 
whistle,koxionam 
whistle,lwwcwr miqn nan 
white,puulu 
whiten,puulu dvb nyinam 
whittle,kookwr dvb pvvnam 
who dunit,nyi mengd puqdwb gon kitap 
whoever,hiyv lajaqkam 
whole,bupwnam 
whole hearted,hvvcwr baql nyinam 
whole sale,puqsumnam 
whole some,dwjw 
whole some,alnam 
whole wheat,wtw rooxo dvs mvnam 
wholly,bupwngam 
whom,hiyam 
whoop,kiir noonam 
whoop,sogoq goqnam 
whopper,dort jaqnbo 
whopping,vcjaqb koinam 
whore,meqjo bo 
whore,nyimw bo 
whore,yojo bo 
whorl,kookwr kwrpwn hvb nyinam 
who's,hiyv gv 
whose,hiyv gwj 
wicked,nyic-nyia 
wicket,kriket sook hoqgv mvpaqnam
wide,taqtnam 
widest,vc jaqb koinam
wide-awake,huurab loodanam
widden,koi dvb mvnam 
wide spread,yuupur kunum 
widow,xwwmy 
widowed,nyol sileqnam nyem 
widower,nyem sileqnam 
widower,tumb 
width,taqtnam 
wield,nyis mvs nyinam 
wife,nywxw 
wife's sister,ywqm 
wig,dumpo dum pulupnam 
wiggle,tuugw baago wnam 
"wild, cat",tas 
wild flower,nyoro opu 
"wild, fowl",porsin 
wild life,nyoro svdin 
wild pig,svr 
wilderness,nyor rogeq 
wilderness,deexa-rara 
will power,atv atam mvtur sunam 
will ful,nyidum lala nyinam 
willing,mwwlwqnam 
willingness,mwaram 
willingness,mwwbarnam 
willy,sur loodanam 
wind,tuuku tuulanam 
wind breaker,dooi ywtup vj 
winded,saqk maanam 
wind fall,haqma paqb nudunamv haanam 
wind instrument,gungga twqnam 
wind mill,mesinam dooi lvgab mvbeqnam 
window,pupum 
window,xwrki 
window pane,xwrki vrs 
window shop,dupum dvrabpam nywcoql kaanam 
wind pipe,guug ruur 
wind shield,dooi ywcwq vrs 
wind swept,dooi ywka mvnam 
windy,dooi ywdu keenam 
wine,opo 
"wine, millet",temy opo 
"wine, rice",poona opo 
winery,opo mvlinam 
wing,alap 
wink,vnyiq nyiqyab nyiqbionam 
wink,nyiqt-gamt 
winner,mvya bo 
winning,mvyanam 
winnow,mviyap 
window,opy 
win some,kaaby dvb nyinam 
winter,dvra 
winter,tapam pool 
winterize,swkwr ceetur dvb nam mvnam 
wintry,swkwr dvn hvb nyinam 
wipe,tixaqnam 
wire,taar 
wireless,redio 
wiry,anyo tvl atornam 
wisdom,cin ywrnam 
wisdom,pumb ywrnam 
wise,mwwlaq mwwpaqnam 
wise crack,goonam 
wise crack,loum dwb nyinam 
wise guy,cengd paqdwn hvb nyinbo 
wish,xiinam 
wish,xiilwqnam 
wish,salam 
wishy washy,laanyi manbo nyi 
wisp,dum biqkwr beqla bo 
wistful,mwwl mwwdwq dwqnam 
wit,cwx coxnam 
witch,sootu tam mvnbo nyi 
witch craft,sootu tuunam 
with,lvgab 
withdraw,naalin 
withdraw,nookurnam 
withdrawal,naalin 
withdrawal,nookur dvb nyinam 
withdrawn,naalin kunum 
wither,sengnam 
withered flower,sengbo opu
withered tree,sengbo svvn 
withered tree,swwxin 
with hold,nootul apnam 
within,uraho 
without,asarnam 
without grain,omsuq 
with stand,ceqturl doonam 
witness,hvvky 
wits about one,nyebia jaqb mwwlaqnam 
witticissm,mwnyir dvb benam 
witty,cwx coxnam 
wives,nywxw tulu 
wizard,gwwyw jaqb nyinbo 
wobble,yeeko yeelo 
wobble,hwql wnam 
woe,mwwdwqnam 
woeful,vcjaqb mwwdwqnam 
wok,gamla 
woke,huurabnum 
woke up,gorabnum 
woke up,huurabnum 
woken,huurab kunum 
wolf,svca 
woman,dvn 
women,nyem 
"woman, old",xoox 
"woman, young",dvn nyijwr 
woman hood,dvn swwknum 
womanize,nyem ruqky bo 
woman kind,dvn dvpar 
woman kind,nyem dvpar 
womanly,dvn niit looda 
womb,mamb 
womb,nvp nvr 
won,mvya kunum 
wonder,mwwgaq 
wonder,nyima takab nyinam 
wonderful,lumdwb nyinam 
wondrous,swrdorxeqnam 
won't,ma 
woo,aby meegaqnam 
wood,swwda 
wood pecker,taarin dendin 
wood wind,piul 
wood work,swwda bon 
woodvn,swwda hoqgv mvnam 
woodvn seat,kumpia 
woodvn seat,pvlw 
wood land,nyookam svvn doqlupnam 
woody,swwda rooxonam 
woof,svca 
wool,svcaq tan 
woolen,svca vj 
woolly,kaadar kaapar maanam 
word,gomcwr 
wording,agam gomcwr 
wordy,agam rooxonam 
wore,kooknum 
work,bon 
work,nyinam 
work out,bon nyilinam 
workable,bon nyilanam 
workaholic,bon nyikil doonbo nyi 
working,bon nyidunam 
workman,bon nyinbo 
workmanship,bon nyilaqbo 
workshop,bon nyibamnam 
world,gvda gvt 
worldly,gvda gvt soqg 
world wide,gvda gvt mwlw so 
worm,tadur 
worn,nyaaknam 
worn,ingnam 
worn,ywwknam 
worn out,laanyi maanam 
worn out,nyelinam 
worried,mwwdwq kunum 
worry,mwwdwqnam 
worse,al looda maanam 
worsen,almanam looda kumanam 
worship,xumnam paqnam 
worst,vc loodab almanam 
worth,xinam 
worth while,xidwb nyinam 
worthless,ximanam 
worthless,kor ximanam 
worthy,xid paqdwb nyinam 
would,nyixo kunam 
wound,uun mvgnam 
wound,pwrknam 
wove,hvmsiqnam 
wow,loum dwb nyinam 
wrangle,haqyaq 
wrangle,paiyaq minsnam 
wrap,vj puucwnam 
wrapped up in,hog mwlwngam biulwq kunam 
wrapper,dvrab hwwbum nan 
wrapper,puucw nan 
wrapping,puucwnam 
wrath,hang lingtwrnam 
wrathful,lingtwr-twryanam 
wreak,nyinam 
wreath,opu gvnam 
wreathe,pulup 
wreathe,tomlup 
wreck,mvpianam 
wreck,yaqpia 
wreckage,yvqmwqbo otu oyu 
wrench,pulayil twqnam 
wrestle,gibw tupka sunam 
wrestle,gwbw humka sunam 
wretch,hemp manbo nyi 
wretched,mwwdwqbo nyi 
wriggle,twrku twrlanam 
wring,heqxabnam 
wrinkle,nyuqm tiqnam 
wrisk watch,alaq goori 
wrist,lvqnyiq pwp 
writ,nyel dook ho haam dvb goqanam 
write,xeqnam 
writer,lvr xeqnbo 
writhe,hiqswrnam 
writing,xiqdunam 
written,xeqknum 
wrong,alma 
wrong,kvtaqma 
wrong,nyimur
wrong doer,nyixiaqbo nyi 
Wrong weight,xibium-xiyiqnam
wrongful,nyic nyia 
wrote,xeqknum 
yesterday,moiyo 
yet,sija godab 
yield,apaq 
yield,loomin gvnam 
yodel,vcib liical benam 
yoga,yooga 
yoke,luuk 
yokel,nampam nyi 
yokel,nyora nyi 
yolk,pwp rvvm 
yonder,kootu dvb nyook 
you,no 
young,nyiid sooiyo 
young,apa pacabo 
youngster,anyo bo ko hotam 
your,noqg 
yours,noqgv 
yourself,noqgv su 
youth,tuudy-yamy 
youth,nyijwr yaapa 
youthful,tuudy-yaamy 
youthful,nyijwr yaapanam 
yuck,nyimurnam 
yucky,kano maanam 
yule,krismas 
yule tide,krismas mood 
yummy,dvngam jaqnbo 
yup pie,koijaqg twngk jitwl bon nyimnam 
zany,paca looda 
zap,nyob panam 
zeal,haareq 
zealot,vcjaqb hwrcwbo nyi 
zebra,svpo 
zenith,mwlwngam ao yaanbo 
zero,asar 
zest,vcjaqb hempnam 
zig zag,tuuky baainam 
zilch,asarnam 
zillion,vcjaqb koibo 
zip,cen 
zip,kaqtin dvb mvnam 
zipper,kaqtin nan 
zither,rwwxw gungga mvnam 
zombie,nyinyiaqbo nyi 
zone,dwaq 
zone,nyook 
zoo,svdin tulungam pvvkuml pvvcumko 
zoology,svdin tulungam poorynam 
zoom,aado koc dvb kaan nan 
President,gvt rad
Prime minister,xilo rad
Chief minister,peelo rad
Home minister,nombu rad
home minister,nvmrw rad
Governor,nyiit rad
Education minister,lvr-tak rad
Agriculture minister,nomtu-rongo rad
PHE minister,hvvi rad
RWD minister,lou-sa rad
PWD minister,lou-sa rad
Power minister,dou rad
Health minister,soodin rad
Animal & husbandry minister,svdin rad
Forest minister,nyoro rad
Defense minister,cwwgw rad
Foreign minister,nyoodo rad
Sport minister,soojuq soonam rad
Civil aviation minister,jarnam-jaanam rad
Finance minister,himpu-rada rad
Textile & industry minister,yip-jinyir rad
Broadcasting minister,pui rad
Law minister,pvvb-daapo rad
Horticulture minister,aaxy-amar rad
Tourism minister,juqmw-gvqmw rad
4th day,Rotinlo aal
5th day,Royin aal
6th day,Robolo aal
7th day,Tingtv aal
8th day,Hinge
Spring season,Dug
Summer season,Dwr
Autum season,Dvka
Winter season,Dvra
Date,Sooyiq
Time,mood
year,vnyw
month,Pool
week,Hapta
day,Aal
1 hour,Swlw duur gob
Sunday,wjw aal
Monday,hvvi aal
Tuesday,doot aal
Wednesday,cwwt aal
Thursday,oj aal
Friday,swwrab aal
Saturday,nyiai aal
15th February to 15th March,Lwmy pool
15th March to 15th April,Lwkw pool
15th April to 15th May,Lwcwr pool
15th May to 15th June,Hiil pool
15th June to 15th July,Tenl pool
15th July to 15th August,Soo pool
15th August to 15th September,Svvt pool
15th September to 15th October,Pwra pool
15th October to 15ht November,Lwb pool
15th November to 15th December,Ral pool
15th December to 15th January,Rat pool
15th January to 15th February,Rajo pool
Mr /shri ,Tuup
Mrs /smt ,Dvn
Miss /young girl,Nyijwr
Mr /young boy,Yaapa
Elder brother,Vbw
Younger brother,Bor
1st elder brother/elder brother,Ac/Aci
2nd elder brother,Paai
3rd elder brother,Paaiyo
4th elder brother,Paako
5th elder brother,Paadung
elder sister,Any/amy
1st elder sister,Atv/At
2nd elder sister,Aai
3rd elder sister,Ayo
Grand father,Nyekam abb
Grand mother,Xoox ann
son-in-law/brother-in-law,Maqb/maqtv
Daughter-in-law,Duun
Mother’s father/brother/uncle,Kwi-kvt
Mother’s sister/aunt/aunty,Mwi-mvt
Brother’s wife,Mwi
Mother’s mother/husband’s mother,Ai/aiyu
