English,Tagin
I have seen it myself,ngo kaapa supv
You'll get over it,no sim ka tvpak re
Everyone's doing it,nyi mwlww vm mvdo
This beautiful place,Kapu nv mooko si
what is your name?,no aminv hugu hv?
This rope is very long,so oso songv si achlvv aaso do 
I eat dinner,ngo dinvr dvdo
The Baptism and the Examinations of Jesus (3:21—4:13),Jisu gv baptisma naanam okv ninyia pokayarka kunam (3:21—4:13)
Takar passed away three years ago,Takar vnyi nyium lo siro
Wife's sister,rignv
You cannot go without a stick,bvknyi bvvma lo no vngnyu ram
Takar must be aware of the danger,Takar maatar vm rvbww chindo so
Rain is falling,Nyido v oodu
don't allow yapa to see,yapa nyi kaapa mooyo
twenty rupees is easy to donate,morko chamnyi hv jipu do
count this for tara,tara nyi so kiji tho
He did the opposite,v mvkor pa
you are like my father,no ngo gv abu jeebv rido
Wait up,dorya to
who is this?,si hvye?
tomorrow,aarunyi
Big girls don't cry,mvga nv nyijir kabma do
I paid,ngo dorpv nv
yapa is most beautiful,yapa kaapu yaachok do
this vast space will not exist.,cheego-dogo v dooma re.
Don't open the door,vryap ryapko yo
Takar received a letter from Yapi,Takar Yapi gv lwknam aku paapa
Don't make me do it,ngom sim ridu bv mvma bvka
Takar knows why Yapi is in Boston,Boston lo Yapi hugu bv dopvnv kv hvla Takar chindo
Have you eaten food?,no achin dvpv kunvi?
that is why chungnv is called sister chungnv and riabu is called brother riabu,Hvkv lvga bv chungnv nyi anyi chungnv bv hokv Riabu nyi achi Riabu bv hvdu nv
I have given mithuns as a gift,ngo chindum-subu vm jiro ku
Don't phone her now,vm hvjak pon mvyo
let the grass cut first,nvmww nga pao moto
I'm old,ngo nyekam do
I'd do it,ngo vm rire
all men come,nyii dvdv aato
Go for it,hv lvga bv vvto
Are you experienced?,no himpa ka pv nv ri?
whether you have given mithuns as my price,no arw-subu vm jida kam
Are you even trying?,no mvka ka pv nv ri?
my mother is doing work,ngo anv kaam ridu
In Hindi language it can also be translated to Puja,Hindi agam bv minbo lo PUJA rinam gubv mindo
you are slow but also you are going to win,no haatvv do hvbv rije ka no yaare
have mercy upon us,ngunu vm aya to
Takar made Yapi one of these too,Takar Yapi nyi ka hvbv rinv mvji pa 
do not eat meat,adin dvyo
it is Tapa who ran ,Tapa yukv jokbu hv
armory,hidu popum
born in the Ikshvaku dynasty in the sacred land of Ayodhya.,Darwknv mooku Ayodhya gv Ikshuaku haaluu lo dvbv bvngnam
Stars twinkle,takar bogdu
